path,label,group,model,TH,H,TB,B,MMLU,GSM8K,TH_n,TH_ci_low,TH_ci_high,H_n,H_ci_low,H_ci_high,TB_n,TB_ci_low,TB_ci_high,B_n,B_ci_low,B_ci_high,budget,MMLU_n,MMLU_ci_low,MMLU_ci_high
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/low_sv_bp20/metrics.json,low_sv_bp20,budget_sweep,formal_eval,0.955,0.046,0.065,0.071,0.81,,1000,0.9403171620637766,0.9662004877143683,1000,0.03466249276326498,0.06081220394161907,1000,0.051323770569062045,0.0820055093133709,1000,0.056669695350451466,0.08861366343015481,0.2,,,
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/magnitude_energy_bp20/metrics.json,magnitude_energy_bp20,budget_sweep,formal_eval,0.949,0.044,0.062,0.066,0.814,,1000,0.9335645136552383,0.9609990572247332,1000,0.0329382145884185,0.058551789150407776,1000,0.04866418011998064,0.07868806031336564,1000,0.05221235045948584,0.08310927590597601,0.2,,,
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/random_seed42_bp20/metrics.json,random_seed42_bp20,budget_sweep,formal_eval,0.944,0.06,0.079,0.066,0.817,,1000,0.927976651850269,0.9566251866145581,1000,0.04689647267593196,0.07647107479135655,1000,0.06384721576082919,0.09737491488400823,1000,0.05221235045948584,0.08310927590597601,0.2,1000,0.7918366762890631,0.839737158831095
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/sac_alpha_bp20/metrics.json,sac_alpha_bp20,budget_sweep,formal_eval,0.777,0.127,0.067,0.065,0.815,,1000,0.7501681060278989,0.8017118697711036,1000,0.10778000925843848,0.14907475257178568,1000,0.05310191960662385,0.08421205324186688,1000,0.051323770569062045,0.0820055093133709,0.2,1000,0.7897439459386497,0.8378451962154505
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/sac_alpha_bp40/metrics.json,sac_alpha_bp40,budget_sweep,formal_eval,0.713,0.175,0.078,0.07,0.821,,1000,0.6841895829243534,0.7401802179608001,1000,0.1527057476303958,0.19978164538521503,1000,0.06294716759073615,0.09628261657107237,1000,0.05577636414629404,0.08751464815128336,0.4,1000,0.7960253362714628,0.8435178847808108
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/sac_alpha_bp60/metrics.json,sac_alpha_bp60,budget_sweep,formal_eval,0.479,0.361,0.079,0.065,0.815,,1000,0.4481771504618109,0.5099835733945823,1000,0.3318160018268193,0.391247837032165,1000,0.06384721576082919,0.09737491488400823,1000,0.051323770569062045,0.0820055093133709,0.6,1000,0.7897439459386497,0.8378451962154505
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/sac_alpha_bp70/metrics.json,sac_alpha_bp70,budget_sweep,formal_eval,0.385,0.461,0.089,0.067,0.816,,1000,0.35533568538042837,0.4155444690712493,1000,0.4303127166140634,0.49198577054780995,1000,0.07288824391300744,0.10825735156211885,1000,0.05310191960662385,0.08421205324186688,0.7,1000,0.7907901792135869,0.8387913094235423
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/sac_alpha_bp80/metrics.json,sac_alpha_bp80,budget_sweep,formal_eval,0.17,0.674,0.115,0.057,0.816,,1000,0.1479915956385524,0.19453406496191405,1000,0.6443294194831642,0.7023388685638626,1000,0.09668343178743777,0.1362631722464397,1000,0.04425344035871594,0.07313706765948591,0.8,1000,0.7907901792135869,0.8387913094235423
outputs/supplement_20260525/qwen35_27b/formal_eval/budget_sweep/sac_alpha_bp90/metrics.json,sac_alpha_bp90,budget_sweep,formal_eval,0.173,0.674,0.117,0.063,0.811,,1000,0.1508192344529515,0.19768346559660158,1000,0.6443294194831642,0.7023388685638626,1000,0.09852838761922869,0.13840290938070654,1000,0.049549663211729086,0.0797949237046461,0.9,1000,0.7855616182967687,0.8340581379252162
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select1000_seed42_bp80/metrics.json,select1000_seed42_bp80,heldout_select_test,formal_eval,0.951,0.052,0.032,0.027,0.82,,1000,0.9358092984933898,0.9627389653526394,1000,0.03987303628377742,0.06755573931927998,1000,0.022757107858710962,0.04482473808376865,1000,0.018621382774294995,0.03899873075304015,0.8,1000,0.7949777670979878,0.8425731074712568
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select1000_seed44_bp80/metrics.json,select1000_seed44_bp80,heldout_select_test,formal_eval,0.958,0.047,0.039,0.036,0.813,,1000,0.9437155747733968,0.9687791144538346,1000,0.0355271051063845,0.06193993808152845,1000,0.028658960904180485,0.052869310419501346,1000,0.02611557140738732,0.049435660467207834,0.8,1000,0.7876522642371055,0.8359521849509368
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select100_seed42_bp80/metrics.json,select100_seed42_bp80,heldout_select_test,formal_eval,0.9477777777777778,0.05555555555555555,0.06,0.06333333333333334,0.823,,900,0.9312464937752001,0.9605028192643292,900,0.042392278143503916,0.07249674117209973,900,0.04627501993037399,0.07746510919207363,900,0.049202595571347964,0.08117586590623263,0.8,1000,0.7981212935038732,0.8454066205144583
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select100_seed43_bp80/metrics.json,select100_seed43_bp80,heldout_select_test,formal_eval,0.9011111111111111,0.0811111111111111,0.07444444444444444,0.07222222222222222,0.821,,900,0.8798708154788727,0.9189418445887948,900,0.06500452877087776,0.10077837193407868,900,0.05904507034773813,0.09346116564695237,900,0.05706707861325379,0.0910136024780147,0.8,1000,0.7960253362714628,0.8435178847808108
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select100_seed44_bp80/metrics.json,select100_seed44_bp80,heldout_select_test,formal_eval,0.9388888888888889,0.056666666666666664,0.07555555555555556,0.06555555555555556,0.82,,900,0.9212965562526096,0.9527505371732317,900,0.0433606290045125,0.07374116776280214,900,0.06003571178177096,0.09468330166463053,900,0.05116116521162091,0.08364285116938168,0.8,,,
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select250_seed42_bp80/metrics.json,select250_seed42_bp80,heldout_select_test,formal_eval,0.9413333333333334,0.04666666666666667,0.06666666666666667,0.06266666666666666,0.826,,750,0.9221587863120608,0.956009948312365,750,0.03374375637979117,0.06420980926279282,750,0.05093187536986549,0.08681785649436921,750,0.04745121825964366,0.08233928036026089,0.8,1000,0.8012673037329014,0.8482376497345165
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select250_seed43_bp80/metrics.json,select250_seed43_bp80,heldout_select_test,formal_eval,0.952,0.052,0.07066666666666667,0.06266666666666666,0.814,,750,0.9342640829552477,0.9651292736540583,750,0.03826992623985369,0.07029595039517048,750,0.054430439423321944,0.0912785256852429,750,0.04745121825964366,0.08233928036026089,0.8,,,
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select250_seed44_bp80/metrics.json,select250_seed44_bp80,heldout_select_test,formal_eval,0.9373333333333334,0.06533333333333333,0.076,0.06933333333333333,0.823,,750,0.9176607196397392,0.9525487817403563,750,0.04976959333295865,0.08532706078316597,750,0.05912070795464086,0.09720056814636416,750,0.05326235016321469,0.08979353719724008,0.8,1000,0.7981212935038732,0.8454066205144583
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select500_seed42_bp80/metrics.json,select500_seed42_bp80,heldout_select_test,formal_eval,0.942,0.048,0.07,0.07,0.821,,500,0.917943812143745,0.9593162708882429,500,0.03246520694135317,0.07042719683589006,500,0.0507597429450181,0.09579718985191686,500,0.0507597429450181,0.09579718985191686,0.8,,,
outputs/supplement_20260525/qwen35_27b/formal_eval/heldout_select_test/select500_seed43_bp80/metrics.json,select500_seed43_bp80,heldout_select_test,formal_eval,0.934,0.066,0.084,0.06,0.823,,500,0.9087605988391466,0.9526214736402262,500,0.04737852635977387,0.09123940116085351,500,0.06274413680383038,0.1115993144601811,500,0.0423483564809462,0.08436106312521979,0.8,1000,0.7981212935038732,0.8454066205144583
outputs/supplement_20260525/qwen35_27b/formal_eval/random10/random_seed0_bp80/metrics.json,random_seed0_bp80,random10,formal_eval,0.4,0.542,0.082,0.073,0.816,,1000,0.37007478121137727,0.4306905704857338,1000,0.5110177730722398,0.5726607792149736,1000,0.06655195342021952,0.10064721667370458,1000,0.05845902621241335,0.0908090255342507,0.8,1000,0.7907901792135869,0.8387913094235423
outputs/supplement_20260525/qwen35_27b/formal_eval/random10/random_seed1_bp80/metrics.json,random_seed1_bp80,random10,formal_eval,0.442,0.465,0.08,0.072,0.823,,1000,0.411499555136933,0.4729443488473914,1000,0.4342791187506989,0.49598875434329004,1000,0.06474803809836388,0.09846643902950242,1000,0.05756392168091441,0.08971178358272076,0.8,1000,0.7981212935038732,0.8454066205144583
outputs/supplement_20260525/qwen35_27b/formal_eval/random10/random_seed2_bp80/metrics.json,random_seed2_bp80,random10,formal_eval,0.533,0.381,0.081,0.063,0.823,,1000,0.5020104989134991,0.5637369350264544,1000,0.35141031362749775,0.4115004548920643,1000,0.0656496215412003,0.0995572020696949,1000,0.049549663211729086,0.0797949237046461,0.8,1000,0.7981212935038732,0.8454066205144583
outputs/supplement_20260525/qwen35_27b/formal_eval/random10/random_seed3_bp80/metrics.json,random_seed3_bp80,random10,formal_eval,0.241,0.649,0.099,0.059,0.817,,1000,0.215515307986809,0.26846695290870853,1000,0.6188992039590456,0.6779604220122589,1000,0.08199544136866538,0.11907361893674984,1000,0.04601429821280047,0.07536090277145915,0.8,1000,0.7918366762890631,0.839737158831095
