gate_path,label,layer,module,total,dropped,drop_rate,mean_score
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,43,o_proj,32,22,0.6875,0.4867267543449998
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,43,q_proj,32,24,0.75,0.5190282184630632
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,43,v_proj,32,27,0.84375,0.48688915371894836
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,47,o_proj,32,26,0.8125,0.47721991827711463
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,47,q_proj,32,30,0.9375,0.43718577828258276
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,47,v_proj,32,23,0.71875,0.5439986269921064
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,51,o_proj,32,25,0.78125,0.4320711581967771
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,51,q_proj,32,23,0.71875,0.5559582309797406
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,51,v_proj,32,27,0.84375,0.46635498432442546
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,55,o_proj,32,26,0.8125,0.48954686848446727
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,55,q_proj,32,24,0.75,0.5079383538104594
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,55,v_proj,32,28,0.875,0.5046279551461339
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,59,o_proj,32,25,0.78125,0.5023304549977183
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,59,q_proj,32,26,0.8125,0.5357770044356585
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,59,v_proj,32,29,0.90625,0.5099949240684509
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,63,o_proj,32,23,0.71875,0.5047732689417899
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,63,q_proj,32,24,0.75,0.5135051878169179
outputs/supplement_20260525/qwen35_27b/gates/gradient_alpha_proxy_bp80/cssc_gates.json,gradient_alpha_proxy_bp80,63,v_proj,32,29,0.90625,0.5150344776920974
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,43,o_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,43,q_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,43,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,47,o_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,47,q_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,47,v_proj,32,21,0.65625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,51,o_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,51,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,51,v_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,55,o_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,55,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,55,v_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,59,o_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,59,q_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,59,v_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,63,o_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,63,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed0_bp80/cssc_gates.json,random_seed0_bp80,63,v_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,43,o_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,43,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,43,v_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,47,o_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,47,q_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,47,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,51,o_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,51,q_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,51,v_proj,32,30,0.9375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,55,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,55,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,55,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,59,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,59,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,59,v_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,63,o_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,63,q_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed1_bp80/cssc_gates.json,random_seed1_bp80,63,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,43,o_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,43,q_proj,32,30,0.9375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,43,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,47,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,47,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,47,v_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,51,o_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,51,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,51,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,55,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,55,q_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,55,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,59,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,59,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,59,v_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,63,o_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,63,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed2_bp80/cssc_gates.json,random_seed2_bp80,63,v_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,43,o_proj,32,30,0.9375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,43,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,43,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,47,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,47,q_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,47,v_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,51,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,51,q_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,51,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,55,o_proj,32,30,0.9375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,55,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,55,v_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,59,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,59,q_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,59,v_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,63,o_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,63,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed3_bp80/cssc_gates.json,random_seed3_bp80,63,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,43,o_proj,32,13,0.40625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,43,q_proj,32,12,0.375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,43,v_proj,32,14,0.4375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,47,o_proj,32,14,0.4375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,47,q_proj,32,11,0.34375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,47,v_proj,32,10,0.3125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,51,o_proj,32,14,0.4375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,51,q_proj,32,15,0.46875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,51,v_proj,32,16,0.5,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,55,o_proj,32,10,0.3125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,55,q_proj,32,13,0.40625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,55,v_proj,32,12,0.375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,59,o_proj,32,12,0.375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,59,q_proj,32,12,0.375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,59,v_proj,32,14,0.4375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,63,o_proj,32,14,0.4375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,63,q_proj,32,12,0.375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp40/cssc_gates.json,random_seed42_bp40,63,v_proj,32,12,0.375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,43,o_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,43,q_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,43,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,47,o_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,47,q_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,47,v_proj,32,20,0.625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,51,o_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,51,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,51,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,55,o_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,55,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,55,v_proj,32,20,0.625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,59,o_proj,32,18,0.5625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,59,q_proj,32,21,0.65625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,59,v_proj,32,17,0.53125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,63,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,63,q_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed42_bp70/cssc_gates.json,random_seed42_bp70,63,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,43,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,43,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,43,v_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,47,o_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,47,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,47,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,51,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,51,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,51,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,55,o_proj,32,30,0.9375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,55,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,55,v_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,59,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,59,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,59,v_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,63,o_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,63,q_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed4_bp80/cssc_gates.json,random_seed4_bp80,63,v_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,43,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,43,q_proj,32,21,0.65625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,43,v_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,47,o_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,47,q_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,47,v_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,51,o_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,51,q_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,51,v_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,55,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,55,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,55,v_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,59,o_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,59,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,59,v_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,63,o_proj,32,26,0.8125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,63,q_proj,32,25,0.78125,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed5_bp80/cssc_gates.json,random_seed5_bp80,63,v_proj,32,24,0.75,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,43,o_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,43,q_proj,32,22,0.6875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,43,v_proj,32,27,0.84375,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,47,o_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,47,q_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,47,v_proj,32,23,0.71875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,51,o_proj,32,28,0.875,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,51,q_proj,32,29,0.90625,0.0
outputs/supplement_20260525/qwen35_27b/gates/random_seed6_bp80/cssc_gates.json,random_seed6_bp80,51,v_proj,32,23,0.71875,0.0
